Taxonomy,Economic Activity name,Activity Code,Industry Name
NACE,I55.9 - Other accommodation,I55.9 ,"Hospitality, sports and entertainment facilities"
NACE,I55.9.0 - Other accommodation,I55.9.0 ,"Hospitality, sports and entertainment facilities"
NACE,I56 - Food and beverage service activities,I56 ,"Restaurants, food services"
NACE,I56.1 - Restaurants and mobile food service activities,I56.1 ,"Restaurants, food services"
NACE,I56.1.0 - Restaurants and mobile food service activities,I56.1.0 ,"Restaurants, food services"
NACE,I56.2 - Event catering and other food service activities,I56.2 ,"Restaurants, food services"
NACE,I56.2.1 - Event catering activities,I56.2.1 ,"Restaurants, food services"
NACE,I56.2.9 - Other food service activities,I56.2.9 ,"Restaurants, food services"
NACE,I56.3 - Beverage serving activities,I56.3 ,"Restaurants, food services"
NACE,I56.3.0 - Beverage serving activities,I56.3.0 ,"Restaurants, food services"
NACE,J58 - Publishing activities,J58 ,"Broadcasting, publications and content providers"
NACE,"J58.1 - Publishing of books, periodicals and other publishing activities",J58.1 ,"Broadcasting, publications and content providers"
NACE,J58.1.1 - Book publishing,J58.1.1 ,"Broadcasting, publications and content providers"
NACE,J58.1.2 - Publishing of directories and mailing lists,J58.1.2 ,"Broadcasting, publications and content providers"
NACE,J58.1.3 - Publishing of newspapers,J58.1.3 ,"Broadcasting, publications and content providers"
NACE,J58.1.4 - Publishing of journals and periodicals,J58.1.4 ,"Broadcasting, publications and content providers"
NACE,J58.1.9 - Other publishing activities,J58.1.9 ,"Broadcasting, publications and content providers"
NACE,J58.2 - Software publishing,J58.2 ,Other software
NACE,J58.2.1 - Publishing of computer games,J58.2.1 ,Other software
NACE,J58.2.9 - Other software publishing,J58.2.9 ,Other software
NACE,"J59 - Motion picture, video and television programme production, sound recording and music publishing activities",J59 ,"Broadcasting, publications and content providers"
NACE,"J59.1 - Motion picture, video and television programme activities",J59.1 ,"Broadcasting, publications and content providers"
NACE,"J59.1.1 - Motion picture, video and television programme production activities",J59.1.1 ,"Broadcasting, publications and content providers"
NACE,"J59.1.2 - Motion picture, video and television programme post-production activities",J59.1.2 ,"Broadcasting, publications and content providers"
NACE,"J59.1.3 - Motion picture, video and television programme distribution activities",J59.1.3 ,"Broadcasting, publications and content providers"
NACE,J59.1.4 - Motion picture projection activities,J59.1.4 ,"Broadcasting, publications and content providers"
NACE,J59.2 - Sound recording and music publishing activities,J59.2 ,"Broadcasting, publications and content providers"
NACE,J59.2.0 - Sound recording and music publishing activities,J59.2.0 ,"Broadcasting, publications and content providers"
NACE,J60 - Programming and broadcasting activities,J60 ,"Broadcasting, publications and content providers"
NACE,J60.1 - Radio broadcasting,J60.1 ,"Broadcasting, publications and content providers"
NACE,J60.1.0 - Radio broadcasting,J60.1.0 ,"Broadcasting, publications and content providers"
NACE,J60.2 - Television programming and broadcasting activities,J60.2 ,"Broadcasting, publications and content providers"
NACE,J60.2.0 - Television programming and broadcasting activities,J60.2.0 ,"Broadcasting, publications and content providers"
NACE,J61 - Telecommunications,J61 ,Telecom carriers & Telecommunications Infrastructure
NACE,J61.1 - Wired telecommunications activities,J61.1 ,Telecom carriers
NACE,J61.1.0 - Wired telecommunications activities,J61.1.0 ,Telecom carriers
NACE,J61.2 - Wireless telecommunications activities,J61.2 ,Telecom carriers
NACE,J61.2.0 - Wireless telecommunications activities,J61.2.0 ,Telecom carriers
NACE,J61.3 - Satellite telecommunications activities,J61.3 ,Telecom carriers
NACE,J61.3.0 - Satellite telecommunications activities,J61.3.0 ,Telecom carriers
NACE,J61.9 - Other telecommunications activities,J61.9 ,Telecom carriers
NACE,J61.9.0 - Other telecommunications activities,J61.9.0 ,Telecom carriers
NACE,"J62 - Computer programming, consultancy and related activities",J62 ,Application software & Systems software
NACE,"J62.0 - Computer programming, consultancy and related activities",J62.0 ,Application software & Systems software
NACE,J62.0.1 - Computer programming activities,J62.0.1 ,Application software & Systems software
NACE,J62.0.2 - Computer consultancy activities,J62.0.2 ,Application software & Systems software
NACE,J62.0.3 - Computer facilities management activities,J62.0.3 ,Data management services
NACE,J62.0.9 - Other information technology and computer service activities,J62.0.9 ,Data management services
NACE,J63 - Information service activities,J63 ,Online platforms
NACE,"J63.1 - Data processing, hosting and related activities; web portals",J63.1 ,Online platforms
NACE,"J63.1.1 - Data processing, hosting and related activities",J63.1.1 ,Online platforms
NACE,J63.1.2 - Web portals,J63.1.2 ,Online platforms
NACE,J63.9 - Other information service activities,J63.9 ,"Broadcasting, publications and content providers"
NACE,J63.9.1 - News agency activities,J63.9.1 ,"Broadcasting, publications and content providers"
NACE,J63.9.9 - Other information service activities n.e.c.,J63.9.9 ,"Broadcasting, publications and content providers"
NACE,"K64 - Financial service activities, except insurance and pension funding",K64 ,Other financial services
NACE,K64.1 - Monetary intermediation,K64.1 ,Banks
NACE,K64.1.1 - Central banking,K64.1.1 ,Not in our scope
NACE,K64.1.9 - Other monetary intermediation,K64.1.9 ,Other financial services
NACE,K64.2 - Activities of holding companies,K64.2 ,Other financial services
NACE,K64.2.0 - Activities of holding companies,K64.2.0 ,Other financial services
NACE,"K64.3 - Trusts, funds and similar financial entities",K64.3 ,Other financial services
NACE,"K64.3.0 - Trusts, funds and similar financial entities",K64.3.0 ,Other financial services
NACE,"K64.9 - Other financial service activities, except insurance and pension funding",K64.9 ,Other financial services
NACE,K64.9.1 - Financial leasing,K64.9.1 ,Other financial services
NACE,K64.9.2 - Other credit granting,K64.9.2 ,Other financial services
NACE,"K64.9.9 - Other financial service activities, except insurance and pension funding n.e.c.",K64.9.9 ,Other financial services
NACE,"K65 - Insurance, reinsurance and pension funding, except compulsory social security",K65 ,Insurance
NACE,K65.1 - Insurance,K65.1 ,Insurance
NACE,K65.1.1 - Life insurance,K65.1.1 ,Insurance
NACE,K65.1.2 - Non-life insurance,K65.1.2 ,Insurance
NACE,K65.2 - Reinsurance,K65.2 ,Insurance
NACE,K65.2.0 - Reinsurance,K65.2.0 ,Insurance
NACE,K65.3 - Pension funding,K65.3 ,Other financial services
NACE,K65.3.0 - Pension funding,K65.3.0 ,Other financial services
NACE,K66 - Activities auxiliary to financial services and insurance activities,K66 ,Other financial services
NACE,"K66.1 - Activities auxiliary to financial services, except insurance and pension funding",K66.1 ,Other financial services
NACE,K66.1.1 - Administration of financial markets,K66.1.1 ,Other financial services
NACE,K66.1.2 - Security and commodity contracts brokerage,K66.1.2 ,Other financial services
NACE,"K66.1.9 - Other activities auxiliary to financial services, except insurance and pension funding",K66.1.9 ,Other financial services
NACE,K66.2 - Activities auxiliary to insurance and pension funding,K66.2 ,Other financial services
NACE,K66.2.1 - Risk and damage evaluation,K66.2.1 ,Other financial services
NACE,K66.2.2 - Activities of insurance agents and brokers,K66.2.2 ,Other financial services
NACE,K66.2.9 - Other activities auxiliary to insurance and pension funding,K66.2.9 ,Other financial services
NACE,K66.3 - Fund management activities,K66.3 ,Other financial services
NACE,K66.3.0 - Fund management activities,K66.3.0 ,Other financial services
NACE,L68 - Real estate activities,L68 ,Real estate
NACE,L68.1 - Buying and selling of own real estate,L68.1 ,Real estate
NACE,L68.1.0 - Buying and selling of own real estate,L68.1.0 ,Real estate
NACE,L68.2 - Renting and operating of own or leased real estate,L68.2 ,Real estate
NACE,L68.2.0 - Renting and operating of own or leased real estate,L68.2.0 ,Real estate
NACE,L68.3 - Real estate activities on a fee or contract basis,L68.3 ,Real estate
NACE,L68.3.1 - Real estate agencies,L68.3.1 ,Real estate
NACE,L68.3.2 - Management of real estate on a fee or contract basis,L68.3.2 ,Real estate
NACE,M69 - Legal and accounting activities,M69 ,Business and industrial services
NACE,M69.1 - Legal activities,M69.1 ,Business and industrial services
NACE,M69.1.0 - Legal activities,M69.1.0 ,Business and industrial services
NACE,"M69.2 - Accounting, bookkeeping and auditing activities; tax consultancy",M69.2 ,Business and industrial services
NACE,"M69.2.0 - Accounting, bookkeeping and auditing activities; tax consultancy",M69.2.0 ,Business and industrial services
NACE,M70 - Activities of head offices; management consultancy activities,M70 ,Business and industrial services
NACE,M70.1 - Activities of head offices,M70.1 ,Business and industrial services
NACE,M70.1.0 - Activities of head offices,M70.1.0 ,Business and industrial services
NACE,M70.2 - Management consultancy activities,M70.2 ,Business and industrial services
NACE,M70.2.1 - Public relations and communication activities,M70.2.1 ,Business and industrial services
NACE,M70.2.2 - Business and other management consultancy activities,M70.2.2 ,Business and industrial services
NACE,M71 - Architectural and engineering activities; technical testing and analysis,M71 ,Business and industrial services
NACE,M71.1 - Architectural and engineering activities and related technical consultancy,M71.1 ,Business and industrial services
NACE,M71.1.1 - Architectural activities,M71.1.1 ,Business and industrial services
NACE,M71.1.2 - Engineering activities and related technical consultancy,M71.1.2 ,Business and industrial services
NACE,M71.2 - Technical testing and analysis,M71.2 ,Business and industrial services
NACE,M71.2.0 - Technical testing and analysis,M71.2.0 ,Business and industrial services
NACE,M72 - Scientific research and development,M72 ,Biotechnology laboratories and services
NACE,M72.1 - Research and experimental development on natural sciences and engineering,M72.1 ,Biotechnology laboratories and services
NACE,M72.1.1 - Research and experimental development on biotechnology,M72.1.1 ,Biotechnology laboratories and services
NACE,M72.1.9 - Other research and experimental development on natural sciences and engineering,M72.1.9 ,Biotechnology laboratories and services
NACE,M72.2 - Research and experimental development on social sciences and humanities,M72.2 ,Business and industrial services
NACE,M72.2.0 - Research and experimental development on social sciences and humanities,M72.2.0 ,Business and industrial services
NACE,M73 - Advertising and market research,M73 ,Business and industrial services
NACE,M73.1 - Advertising,M73.1 ,"Broadcasting, publications and content providers"
NACE,M73.1.1 - Advertising agencies,M73.1.1 ,"Broadcasting, publications and content providers"
NACE,M73.1.2 - Media representation,M73.1.2 ,"Broadcasting, publications and content providers"
NACE,M73.2 - Market research and public opinion polling,M73.2 ,"Broadcasting, publications and content providers"
NACE,M73.2.0 - Market research and public opinion polling,M73.2.0 ,"Broadcasting, publications and content providers"
NACE,"M74 - Other professional, scientific and technical activities",M74 ,Not in our scope
NACE,M74.1 - Specialised design activities,M74.1 ,Business and industrial services
NACE,M74.1.0 - Specialised design activities,M74.1.0 ,Business and industrial services
NACE,M74.2 - Photographic activities,M74.2 ,Business and industrial services
NACE,M74.2.0 - Photographic activities,M74.2.0 ,Business and industrial services
NACE,M74.3 - Translation and interpretation activities,M74.3 ,Business and industrial services
NACE,M74.3.0 - Translation and interpretation activities,M74.3.0 ,Business and industrial services
NACE,"M74.9 - Other professional, scientific and technical activities n.e.c.",M74.9 ,Business and industrial services
NACE,"M74.9.0 - Other professional, scientific and technical activities n.e.c.",M74.9.0 ,Business and industrial services
NACE,M75 - Veterinary activities,M75 ,Other consumer services
NACE,M75.0 - Veterinary activities,M75.0 ,Other consumer services
NACE,M75.0.0 - Veterinary activities,M75.0.0 ,Other consumer services
NACE,N77 - Rental and leasing activities,N77 ,Other consumer services & Business and industrial services
NACE,N77.1 - Renting and leasing of motor vehicles,N77.1 ,Other consumer services & Business and industrial services
NACE,N77.1.1 - Renting and leasing of cars and light motor vehicles,N77.1.1 ,Other consumer services & Business and industrial services
NACE,N77.1.2 - Renting and leasing of trucks,N77.1.2 ,Other consumer services & Business and industrial services
NACE,N77.2 - Renting and leasing of personal and household goods,N77.2 ,Other consumer services
NACE,N77.2.1 - Renting and leasing of recreational and sports goods,N77.2.1 ,Other consumer services
NACE,N77.2.2 - Renting of video tapes and disks,N77.2.2 ,Other consumer services
NACE,N77.2.9 - Renting and leasing of other personal and household goods,N77.2.9 ,Other consumer services
NACE,"N77.3 - Renting and leasing of other machinery, equipment and tangible goods",N77.3 ,Business and industrial services
NACE,N77.3.1 - Renting and leasing of agricultural machinery and equipment,N77.3.1 ,Business and industrial services
NACE,N77.3.2 - Renting and leasing of construction and civil engineering machinery and equipment,N77.3.2 ,Construction: related activities
NACE,N77.3.3 - Renting and leasing of office machinery and equipment (including computers),N77.3.3 ,Business and industrial services
NACE,N77.3.4 - Renting and leasing of water transport equipment,N77.3.4 ,Business and industrial services
NACE,N77.3.5 - Renting and leasing of air transport equipment,N77.3.5 ,Business and industrial services
NACE,"N77.3.9 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",N77.3.9 ,Business and industrial services
NACE,"N77.4 - Leasing of intellectual property and similar products, except copyrighted works",N77.4 ,Business and industrial services
NACE,"N77.4.0 - Leasing of intellectual property and similar products, except copyrighted works",N77.4.0 ,Business and industrial services
NACE,N78 - Employment activities,N78 ,Business and industrial services
NACE,N78.1 - Activities of employment placement agencies,N78.1 ,Business and industrial services
NACE,N78.1.0 - Activities of employment placement agencies,N78.1.0 ,Business and industrial services
NACE,N78.2 - Temporary employment agency activities,N78.2 ,Business and industrial services
NACE,N78.2.0 - Temporary employment agency activities,N78.2.0 ,Business and industrial services
NACE,N78.3 - Other human resources provision,N78.3 ,Business and industrial services
NACE,N78.3.0 - Other human resources provision,N78.3.0 ,Business and industrial services
NACE,"N79 - Travel agency, tour operator and other reservation service and related activities",N79 ,"Hospitality, sports and entertainment facilities"
NACE,N79.1 - Travel agency and tour operator activities,N79.1 ,"Hospitality, sports and entertainment facilities"
NACE,N79.1.1 - Travel agency activities,N79.1.1 ,"Hospitality, sports and entertainment facilities"
NACE,N79.1.2 - Tour operator activities,N79.1.2 ,"Hospitality, sports and entertainment facilities"
NACE,N79.9 - Other reservation service and related activities,N79.9 ,"Hospitality, sports and entertainment facilities"
NACE,N79.9.0 - Other reservation service and related activities,N79.9.0 ,"Hospitality, sports and entertainment facilities"
NACE,N80 - Security and investigation activities,N80 ,Business and industrial services
NACE,N80.1 - Private security activities,N80.1 ,Business and industrial services
NACE,N80.1.0 - Private security activities,N80.1.0 ,Business and industrial services
NACE,N80.2 - Security systems service activities,N80.2 ,Business and industrial services
NACE,N80.2.0 - Security systems service activities,N80.2.0 ,Business and industrial services
NACE,N80.3 - Investigation activities,N80.3 ,Business and industrial services
NACE,N80.3.0 - Investigation activities,N80.3.0 ,Business and industrial services
NACE,N81 - Services to buildings and landscape activities,N81 ,Business and industrial services
NACE,N81.1 - Combined facilities support activities,N81.1 ,Business and industrial services
NACE,N81.1.0 - Combined facilities support activities,N81.1.0 ,Business and industrial services
NACE,N81.2 - Cleaning activities,N81.2 ,Business and industrial services
NACE,N81.2.1 - General cleaning of buildings,N81.2.1 ,Business and industrial services
NACE,N81.2.2 - Other building and industrial cleaning activities,N81.2.2 ,Business and industrial services
NACE,N81.2.9 - Other cleaning activities,N81.2.9 ,Business and industrial services
NACE,N81.3 - Landscape service activities,N81.3 ,Business and industrial services
NACE,N81.3.0 - Landscape service activities,N81.3.0 ,Business and industrial services
NACE,"N82 - Office administrative, office support and other business support activities",N82 ,Business and industrial services
NACE,N82.1 - Office administrative and support activities,N82.1 ,Business and industrial services
NACE,N82.1.1 - Combined office administrative service activities,N82.1.1 ,Business and industrial services
NACE,"N82.1.9 - Photocopying, document preparation and other specialised office support activities",N82.1.9 ,Business and industrial services
NACE,N82.2 - Activities of call centres,N82.2 ,Business and industrial services
NACE,N82.2.0 - Activities of call centres,N82.2.0 ,Business and industrial services
NACE,N82.3 - Organisation of conventions and trade shows,N82.3 ,Business and industrial services
NACE,N82.3.0 - Organisation of conventions and trade shows,N82.3.0 ,Business and industrial services
NACE,N82.9 - Business support service activities n.e.c.,N82.9 ,Business and industrial services
NACE,N82.9.1 - Activities of collection agencies and credit bureaus,N82.9.1 ,Business and industrial services
NACE,N82.9.2 - Packaging activities,N82.9.2 ,Business and industrial services
NACE,N82.9.9 - Other business support service activities n.e.c.,N82.9.9 ,Business and industrial services
NACE,O84 - Public administration and defence; compulsory social security,O84 ,Public services (excl. education)
NACE,O84.1 - Administration of the State and the economic and social policy of the community,O84.1 ,Public services (excl. education)
NACE,O84.1.1 - General public administration activities,O84.1.1 ,Public services (excl. education)
NACE,"O84.1.2 - Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O84.1.2 ,Public services (excl. education)
NACE,O84.1.3 - Regulation of and contribution to more efficient operation of businesses,O84.1.3 ,Public services (excl. education)
NACE,O84.2 - Provision of services to the community as a whole,O84.2 ,Public services (excl. education)
NACE,O84.2.1 - Foreign affairs,O84.2.1 ,Public services (excl. education)
NACE,O84.2.2 - Defence activities,O84.2.2 ,Public services (excl. education)
NACE,O84.2.3 - Justice and judicial activities,O84.2.3 ,Public services (excl. education)
NACE,O84.2.4 - Public order and safety activities,O84.2.4 ,Public services (excl. education)
NACE,O84.2.5 - Fire service activities,O84.2.5 ,Public services (excl. education)
NACE,O84.3 - Compulsory social security activities,O84.3 ,Public services (excl. education)
NACE,O84.3.0 - Compulsory social security activities,O84.3.0 ,Public services (excl. education)
NACE,P85 - Education,P85 ,Educational and training products/services
NACE,P85.1 - Pre-primary education,P85.1 ,Educational and training products/services
NACE,P85.1.0 - Pre-primary education,P85.1.0 ,Educational and training products/services
NACE,P85.2 - Primary education,P85.2 ,Educational and training products/services
NACE,P85.2.0 - Primary education,P85.2.0 ,Educational and training products/services
NACE,P85.3 - Secondary education,P85.3 ,Educational and training products/services
NACE,P85.3.1 - General secondary education,P85.3.1 ,Educational and training products/services
NACE,P85.3.2 - Technical and vocational secondary education,P85.3.2 ,Educational and training products/services
NACE,P85.4 - Higher education,P85.4 ,Educational and training products/services
NACE,P85.4.1 - Post-secondary non-tertiary education,P85.4.1 ,Educational and training products/services
NACE,P85.4.2 - Tertiary education,P85.4.2 ,Educational and training products/services
NACE,P85.5 - Other education,P85.5 ,Educational and training products/services
NACE,P85.5.1 - Sports and recreation education,P85.5.1 ,Educational and training products/services
NACE,P85.5.2 - Cultural education,P85.5.2 ,Educational and training products/services
NACE,P85.5.3 - Driving school activities,P85.5.3 ,Educational and training products/services
NACE,P85.5.9 - Other education n.e.c.,P85.5.9 ,Educational and training products/services
NACE,P85.6 - Educational support activities,P85.6 ,Educational and training products/services
NACE,P85.6.0 - Educational support activities,P85.6.0 ,Educational and training products/services
NACE,Q86 - Human health activities,Q86 ,Healthcare institutions and services
NACE,Q86.1 - Hospital activities,Q86.1 ,Healthcare institutions and services
NACE,Q86.1.0 - Hospital activities,Q86.1.0 ,Healthcare institutions and services
NACE,Q86.2 - Medical and dental practice activities,Q86.2 ,Healthcare institutions and services
NACE,Q86.2.1 - General medical practice activities,Q86.2.1 ,Healthcare institutions and services
NACE,Q86.2.2 - Specialist medical practice activities,Q86.2.2 ,Healthcare institutions and services
NACE,Q86.2.3 - Dental practice activities,Q86.2.3 ,Healthcare institutions and services
NACE,Q86.9 - Other human health activities,Q86.9 ,Healthcare institutions and services
NACE,Q86.9.0 - Other human health activities,Q86.9.0 ,Healthcare institutions and services
NACE,Q87 - Residential care activities,Q87 ,Healthcare institutions and services
NACE,Q87.1 - Residential nursing care activities,Q87.1 ,Healthcare institutions and services
NACE,Q87.1.0 - Residential nursing care activities,Q87.1.0 ,Healthcare institutions and services
NACE,"Q87.2 - Residential care activities for mental retardation, mental health and substance abuse",Q87.2 ,Healthcare institutions and services
NACE,"Q87.2.0 - Residential care activities for mental retardation, mental health and substance abuse",Q87.2.0 ,Healthcare institutions and services
NACE,Q87.3 - Residential care activities for the elderly and disabled,Q87.3 ,Healthcare institutions and services
NACE,Q87.3.0 - Residential care activities for the elderly and disabled,Q87.3.0 ,Healthcare institutions and services
NACE,Q87.9 - Other residential care activities,Q87.9 ,Healthcare institutions and services
NACE,Q87.9.0 - Other residential care activities,Q87.9.0 ,Healthcare institutions and services
NACE,Q88 - Social work activities without accommodation,Q88 ,Healthcare institutions and services
NACE,Q88.1 - Social work activities without accommodation for the elderly and disabled,Q88.1 ,Healthcare institutions and services
NACE,Q88.1.0 - Social work activities without accommodation for the elderly and disabled,Q88.1.0 ,Healthcare institutions and services
NACE,Q88.9 - Other social work activities without accommodation,Q88.9 ,Healthcare institutions and services
NACE,Q88.9.1 - Child day-care activities,Q88.9.1 ,Educational and training products/services
NACE,Q88.9.9 - Other social work activities without accommodation n.e.c.,Q88.9.9 ,Healthcare institutions and services
NACE,"R90 - Creative, arts and entertainment activities",R90 ,Art galleries and related services
NACE,"R90.0 - Creative, arts and entertainment activities",R90.0 ,Art galleries and related services
NACE,R90.0.1 - Performing arts,R90.0.1 ,Art galleries and related services
NACE,R90.0.2 - Support activities to performing arts,R90.0.2 ,Art galleries and related services
NACE,R90.0.3 - Artistic creation,R90.0.3 ,Art galleries and related services
NACE,R90.0.4 - Operation of arts facilities,R90.0.4 ,Art galleries and related services
NACE,"R91 - Libraries, archives, museums and other cultural activities",R91 ,Art galleries and related services
NACE,"R91.0 - Libraries, archives, museums and other cultural activities",R91.0 ,Art galleries and related services
NACE,R91.0.1 - Library and archives activities,R91.0.1 ,Art galleries and related services
NACE,R91.0.2 - Museums activities,R91.0.2 ,Art galleries and related services
NACE,R91.0.3 - Operation of historical sites and buildings and similar visitor attractions,R91.0.3 ,Not in our scope
NACE,R91.0.4 - Botanical and zoological gardens and nature reserves activities,R91.0.4 ,Not in our scope
NACE,R92 - Gambling and betting activities,R92 ,"Hospitality, sports and entertainment facilities"
NACE,R92.0 - Gambling and betting activities,R92.0 ,"Hospitality, sports and entertainment facilities"
NACE,R92.0.0 - Gambling and betting activities,R92.0.0 ,"Hospitality, sports and entertainment facilities"
NACE,R93 - Sports activities and amusement and recreation activities,R93 ,"Hospitality, sports and entertainment facilities"
NACE,R93.1 - Sports activities,R93.1 ,"Hospitality, sports and entertainment facilities"
NACE,R93.1.1 - Operation of sports facilities,R93.1.1 ,"Hospitality, sports and entertainment facilities"
NACE,R93.1.2 - Activities of sport clubs,R93.1.2 ,"Hospitality, sports and entertainment facilities"
NACE,R93.1.3 - Fitness facilities,R93.1.3 ,"Hospitality, sports and entertainment facilities"
NACE,R93.1.9 - Other sports activities,R93.1.9 ,"Hospitality, sports and entertainment facilities"
NACE,R93.2 - Amusement and recreation activities,R93.2 ,"Hospitality, sports and entertainment facilities"
NACE,R93.2.1 - Activities of amusement parks and theme parks,R93.2.1 ,"Hospitality, sports and entertainment facilities"
NACE,R93.2.9 - Other amusement and recreation activities,R93.2.9 ,"Hospitality, sports and entertainment facilities"
NACE,S94 - Activities of membership organisations,S94 ,Not in our scope
NACE,"S94.1 - Activities of business, employers and professional membership organisations",S94.1 ,Not in our scope
NACE,S94.1.1 - Activities of business and employers membership organisations,S94.1.1 ,Not in our scope
NACE,S94.1.2 - Activities of professional membership organisations,S94.1.2 ,Not in our scope
NACE,S94.2 - Activities of trade unions,S94.2 ,Not in our scope
NACE,S94.2.0 - Activities of trade unions,S94.2.0 ,Not in our scope
NACE,S94.9 - Activities of other membership organisations,S94.9 ,Not in our scope
NACE,S94.9.1 - Activities of religious organisations,S94.9.1 ,Not in our scope
NACE,S94.9.2 - Activities of political organisations,S94.9.2 ,Not in our scope
NACE,S94.9.9 - Activities of other membership organisations n.e.c.,S94.9.9 ,Not in our scope
NACE,S95 - Repair of computers and personal and household goods,S95 ,Computer: retail/wholesale and repair activities
NACE,S95.1 - Repair of computers and communication equipment,S95.1 ,Computer: retail/wholesale and repair activities
NACE,S95.1.1 - Repair of computers and peripheral equipment,S95.1.1 ,Computer: retail/wholesale and repair activities
NACE,S95.1.2 - Repair of communication equipment,S95.1.2 ,Communications: retail/wholesale and repair activities
NACE,S95.2 - Repair of personal and household goods,S95.2 ,Other consumer services
NACE,S95.2.1 - Repair of consumer electronics,S95.2.1 ,Other consumer services
NACE,S95.2.2 - Repair of household appliances and home and garden equipment,S95.2.2 ,Other consumer services
NACE,S95.2.3 - Repair of footwear and leather goods,S95.2.3 ,Other consumer services
NACE,S95.2.4 - Repair of furniture and home furnishings,S95.2.4 ,Other consumer services
NACE,"S95.2.5 - Repair of watches, clocks and jewellery",S95.2.5 ,Other consumer services
NACE,S95.2.9 - Repair of other personal and household goods,S95.2.9 ,Other consumer services
NACE,S96 - Other personal service activities,S96 ,Other consumer services
NACE,S96.0 - Other personal service activities,S96.0 ,Other consumer services
NACE,S96.0.1 - Washing and (dry-)cleaning of textile and fur products,S96.0.1 ,Other consumer services
NACE,S96.0.2 - Hairdressing and other beauty treatment,S96.0.2 ,Other consumer services
NACE,S96.0.3 - Funeral and related activities,S96.0.3 ,Other consumer services
NACE,S96.0.4 - Physical well-being activities,S96.0.4 ,Other consumer services
NACE,S96.0.9 - Other personal service activities n.e.c.,S96.0.9 ,Other consumer services
